scenario,person,seed,arm,tracking_mse,accuracy,rate_error,entropy,spectral_entropy,saturation_fraction,control_energy,washout_mse,weight_change,washout_weight_change,cap_events
nominal,18,100,entropy,132.65719589321947,0.5793333333333334,0.0028264569171387887,0.9606115634079981,0.21102347754754103,0.0215625,0.028650152791029088,0.6874495042778935,0.0,0.0,0
nominal,18,100,combined,114.05585994009631,0.5793333333333334,0.0024671280459750322,0.961729531400348,0.23809218965906745,0.0109375,0.045384986798092775,0.6874495083225253,0.0,0.0,0
nominal,19,100,sham,122.5280211828342,0.4206666666666667,0.001367254801666665,0.9587318751792704,0.20254010616697546,0.4336041666666667,0.0,0.4331836250444156,0.0,0.0,0
nominal,19,100,fixed,60.72939034076787,0.698,0.0010576343747632252,0.9709389178611105,0.2607905938611192,0.4769583333333333,0.1600000000000001,0.8683678371624469,0.0,0.0,0
nominal,19,100,rate,86.27793359833443,0.421,0.0010321116877659707,0.9571837697960427,0.2583970448031167,0.2992708333333333,0.013677615262843692,0.43318362416034756,0.0,0.0,0
nominal,19,100,entropy,105.27387640069712,0.42133333333333334,0.0010462931510087478,0.9568976159736743,0.2975169332031749,0.08585416666666666,0.06832983613589919,0.4406895325090329,0.0,0.0,0
nominal,19,100,combined,81.17636809136803,0.42133333333333334,0.0009471786245359544,0.9565617684756504,0.2945102581107269,0.12085416666666667,0.0348136198872626,0.4331836222345825,0.0,0.0,0
nominal,20,100,sham,63.869844498775706,0.579,0.004778995526195793,0.9405633901048507,0.18904816232108854,0.0012291666666666666,0.0,0.9016518133589938,0.0,0.0,0
nominal,20,100,fixed,48.32931862067317,0.578,0.004033046864101079,0.9571962619095331,0.18594403303862425,0.0750625,0.3599999999999999,2.287808434590943,0.0,0.0,0
nominal,20,100,rate,38.79161059440697,0.579,0.0034007128024367735,0.9369368308256866,0.22906403708893175,0.0027916666666666667,0.04279790472689307,0.9055080401696677,0.0,0.0,0
nominal,20,100,entropy,49.32798502785874,0.579,0.0039567693558109395,0.9238488394167899,0.2234750944894138,0.0045,0.04631565119913632,0.891280715021892,0.0,0.0,0
nominal,20,100,combined,37.13395563923456,0.579,0.003305134548479676,0.9370289680967844,0.2437592761531071,0.004958333333333334,0.0630902995980589,0.9146319295228628,0.0,0.0,0
nominal,21,100,sham,159.57639391600796,0.5793333333333334,0.002800324461265645,0.9627526519777029,0.1989383556378822,0.0010833333333333333,0.0,0.745025965172019,0.0,0.0,0
nominal,21,100,fixed,114.72004035321768,0.578,0.0022219597208440415,0.9721732705734073,0.20661925078129012,0.07185416666666666,0.3599999999999999,3.5636093951411425,0.0,0.0,0
nominal,21,100,rate,103.88615069359653,0.579,0.002005003776334216,0.9623349322531234,0.23776754779908407,0.0017708333333333332,0.02572406957817543,0.7454057902542434,0.0,0.0,0
